Ticker,CompanyName,Sector,Industry,Location,DateAdded
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",10/12/1999
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/2017
AON,Aon,Financials,Insurance Brokers,"London, UK",4/23/1996
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/1997
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/1982
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",3/16/1995
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",12/24/2012
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",11/1/2022
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",3/4/1957
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",8/28/2018
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",5/31/2016
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",4/10/2007
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/1983
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2/15/2019
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",12/1/1989
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",3/31/1981
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",1/2/1997
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",1/10/2007
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",12/31/1987
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",5/4/2023
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/2017
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",10/31/1984
